# журнал мастера, запуск 2026-09-05 04:52:18
# время	часы	источник	событие	подробности
04:58:59	400.4	трекинг	отчёт трекинга	источник live | состояние замер | видно 3 (1,3,6) | изменений за 10 с: 0
04:59:04	404.9	трекинг	СКАЧОК	beacon2: 0.09 м за кадр (6 м/с) — держу старую позицию
04:59:05	405.7	трекинг	СКАЧОК	beacon2: 0.09 м за кадр (5 м/с) — держу старую позицию
04:59:09	410.4	трекинг	отчёт трекинга	источник live | состояние замер | видно 3 (1,3,6) | изменений за 10 с: 0
04:59:19	420.4	трекинг	отчёт трекинга	источник live | состояние замер | видно 3 (1,3,6) | изменений за 10 с: 0
04:59:29	430.4	трекинг	отчёт трекинга	источник live | состояние замер | видно 3 (1,3,6) | изменений за 10 с: 0
04:59:33	433.6	настройка	beacon_pools[1,beacons]: 1,2,3 -> 1,2,3,4,5,6,7,8.9,10	
04:59:33	434.0	настройки	сохранены в settings.local.json (автосохранение)	
04:59:39	440.4	трекинг	отчёт трекинга	источник live | состояние замер | видно 3 (1,3,6) | изменений за 10 с: 0
04:59:49	450.4	трекинг	отчёт трекинга	источник live | состояние замер | видно 3 (1,3,6) | изменений за 10 с: 0
04:59:59	460.4	трекинг	отчёт трекинга	источник live | состояние замер | видно 3 (1,3,6) | изменений за 10 с: 0
05:00:09	470.4	трекинг	отчёт трекинга	источник live | состояние замер | видно 3 (1,3,6) | изменений за 10 с: 0
05:00:12	473.1	трекинг	СКАЧОК	beacon5: 2.25 м за кадр (5 м/с) — держу старую позицию
05:00:13	473.8	трекинг	СКАЧОК	beacon5: 0.14 м за кадр (8 м/с) — держу старую позицию
05:00:19	480.4	трекинг	отчёт трекинга	источник live | состояние замер | видно 3 (1,3,6) | изменений за 10 с: 0
05:00:23	483.7	трекинг	СКАЧОК	beacon2: 0.10 м за кадр (6 м/с) — держу старую позицию
05:00:24	484.4	трекинг	СКАЧОК	beacon2: 0.09 м за кадр (6 м/с) — держу старую позицию
05:00:29	490.4	трекинг	отчёт трекинга	источник live | состояние замер | видно 3 (1,3,6) | изменений за 10 с: 0
05:00:37	498.4	трекинг	СКАЧОК	beacon5: 0.25 м за кадр (15 м/с) — держу старую позицию
05:00:39	500.4	трекинг	отчёт трекинга	источник live | состояние замер | видно 3 (1,3,6) | изменений за 10 с: 0
05:00:40	501.2	трекинг	СКАЧОК	beacon5: 0.12 м за кадр (7 м/с) — держу старую позицию
05:00:48	508.9	трекинг	СКАЧОК	beacon5: 0.11 м за кадр (6 м/с) — держу старую позицию
05:00:49	510.4	трекинг	отчёт трекинга	источник live | состояние замер | видно 3 (1,3,6) | изменений за 10 с: 0
05:00:50	511.2	трекинг	СКАЧОК	beacon5: 0.17 м за кадр (10 м/с) — держу старую позицию
05:00:53	513.9	трекинг	СКАЧОК	beacon5: 0.10 м за кадр (6 м/с) — держу старую позицию
05:00:58	519.1	трекинг	СКАЧОК	beacon5: 0.31 м за кадр (18 м/с) — держу старую позицию
05:00:59	520.1	трекинг	СКАЧОК	beacon5: 0.23 м за кадр (14 м/с) — держу старую позицию
05:00:59	520.4	трекинг	отчёт трекинга	источник live | состояние замер | видно 3 (1,3,6) | изменений за 10 с: 0
05:01:01	522.3	трекинг	СКАЧОК	beacon5: 0.28 м за кадр (17 м/с) — держу старую позицию
05:01:08	528.9	трекинг	СКАЧОК	beacon5: 0.09 м за кадр (5 м/с) — держу старую позицию
05:01:09	530.4	трекинг	отчёт трекинга	источник live | состояние замер | видно 3 (1,3,6) | изменений за 10 с: 0
